REGIONAL,MEDIO DE  RECEPCION,TIPO DE AFECTACION,RECURSO AFECTADO,MUNICIPIO,Periodo
AGUAS,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN CARLOS,2021
Aguas,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SAN CARLOS,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,EL RETIRO,2021
Paramo,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,SONSÓN,2021
Valles,Correo electrónico,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,GUARNE,2021
Valles,Telefónico,TALA BOSQUE NATURAL NATIVO,FLORA,RIONEGRO,2021
Bosques,Telefónico,MOVIMIENTO DE TIERRAS,SUELO,SAN FRANCISCO,2021
Valles,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,AGUA,GUARNE,2021
Valles,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,RIONEGRO,2021
Valles,Correo electrónico,TALA BOSQUE NATURAL NATIVO,FLORA,EL CARMEN,2021
Valles,Correo electrónico,DESCORTEZADO DE ÁRBOLES,FLORA,EL CARMEN,2021
Valles,Pagina Web,INTERVENCIÓN  DE CAUCE,AGUA,MARINILLA,2021
Valles,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,MARINILLA,2021
Aguas,Telefónico,TALA O PODA ARBOLES,FLORA,SAN CARLOS,2021
Aguas,Telefónico,MOVIMIENTO DE TIERRAS,AGUA,GUATAPÉ,2021
Aguas,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,GRANADA,2021
Valles,Pagina Web,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,RIONEGRO,2021
Valles,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,GUARNE,2021
Paramo,Telefónico,MOVIMIENTO DE TIERRAS,AGUA,ABEJORRAL,2021
Valles,Correo electrónico,USO ILEGAL DEL AGUA,AGUA,RIONEGRO,2021
Valles,Correo electrónico,TALA BOSQUE NATURAL NATIVO,FLORA,EL RETIRO,2021
Paramo,Telefónico,CONTAMINACION DEL AGUA,AGUA,ABEJORRAL,2021
Aguas,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,GUATAPÉ,2021
Valles,Telefónico,CONTAMINACIÓN POR VERTIMIENTOS,SUELO,RIONEGRO,2021
Porce,Telefónico,OLORES,AIRE,CONCEPCIÓN,2021
Valles,Pagina Web,USO ILEGAL DEL AGUA,AGUA,SAN VICENTE,2021
Valles,Pagina Web,TALA BOSQUE NATURAL NATIVO,FLORA,MARINILLA,2021
Aguas,Telefónico,CONTAMINACION DEL AGUA,AGUA,GUATAPÉ,2021
